timestamp_ms,emg1,emg2,emg3,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
781750,2162,2057,2117,-2371,2344,15810,-21,-11,-9
781752,2160,2057,2112,-2371,2344,15810,-29,-9,-10
781753,2154,2052,2106,-2418,2251,15775,-39,-8,-11
781755,2162,2057,2117,-2418,2251,15775,-50,-4,-13
781756,2164,2059,2119,-2476,2216,15791,-53,-2,-10
781757,2164,2059,2120,-2476,2216,15791,-53,-1,-12
781759,2161,2054,2111,-2476,2216,15791,-53,-1,-12
781760,2157,2054,2121,-2502,2113,15822,-50,-1,-14
781762,2158,2057,2117,-2502,2113,15822,-45,-2,-14
781763,2210,2056,2119,-2529,2059,15765,-36,-13,-12
781764,2165,2057,2117,-2529,2059,15765,-24,-24,-11
781766,2155,2052,2108,-2542,2032,15703,-13,-33,-15
781767,2156,2056,2117,-2542,2032,15703,-4,-42,-13
781769,2163,2059,2118,-2542,2032,15703,-4,-42,-13
781770,2166,2057,2121,-2472,2001,15695,-4,-51,-14
781771,2160,2055,2114,-2472,2001,15695,-5,-54,-16
781773,2154,2055,2109,-2375,2094,15693,-5,-60,-16
781774,2154,2056,2116,-2375,2094,15693,-5,-61,-20
781776,2167,2058,2118,-2306,2214,15707,-9,-65,-18
781777,2166,2056,2116,-2306,2214,15707,-12,-70,-18
781778,2153,2054,2113,-2306,2214,15707,-12,-70,-18
781780,2159,2056,2115,-2267,2281,15645,-17,-78,-17
781781,2161,2054,2105,-2267,2281,15645,-20,-84,-19
781783,2166,2058,2122,-2257,2314,15511,-28,-92,-17
781784,2157,2055,2114,-2257,2314,15511,-40,-102,-23
781786,2159,2053,2116,-2261,2264,15447,-53,-110,-32
781787,2159,2056,2113,-2261,2264,15447,-65,-117,-38
781788,2165,2057,2125,-2256,2197,15459,-73,-123,-41
781790,2207,2059,2118,-2256,2197,15459,-73,-123,-41
781791,2159,2054,2110,-2256,2197,15459,-80,-125,-41
781793,2164,2057,2115,-2284,2115,15548,-82,-125,-41
781794,2205,2055,2119,-2284,2115,15548,-80,-123,-39
781796,2168,2058,2117,-2316,2020,15656,-78,-123,-38
781797,2160,2055,2117,-2316,2020,15656,-75,-119,-33
781799,2155,2054,2117,-2361,1948,15819,-72,-120,-28
781800,2162,2059,2118,-2361,1948,15819,-67,-124,-26
781802,2162,2058,2118,-2359,1915,15964,-62,-132,-23
781803,2165,2057,2114,-2359,1915,15964,-62,-132,-23
781804,2154,2051,2101,-2359,1915,15964,-61,-134,-21
781806,2160,2057,2118,-2322,1817,16044,-58,-139,-19
781807,2202,2057,2118,-2322,1817,16044,-56,-143,-18
781809,2176,2056,2121,-2277,1715,16110,-58,-139,-14
781810,2158,2053,2110,-2277,1715,16110,-59,-133,-8
781812,2144,2055,2120,-2207,1679,16203,-59,-126,-6
781813,2167,2056,2115,-2207,1679,16203,-58,-118,-5
781814,2163,2058,2121,-2207,1679,16203,-58,-118,-5
781816,2165,2057,2115,-2170,1663,16261,-51,-112,-6
781817,2158,2054,2111,-2170,1663,16261,-43,-100,-6
781819,2158,2056,2115,-2130,1667,16332,-34,-85,2
781820,2159,2057,2114,-2130,1667,16332,-31,-71,10
781821,2168,2056,2119,-2073,1679,16374,-24,-62,12
781823,2167,2055,2119,-2073,1679,16374,-16,-51,13
781824,2150,2055,2110,-2073,1679,16374,-16,-51,13
781826,2156,2059,2115,-2065,1682,16405,-13,-38,13
781827,2167,2059,2120,-2065,1682,16405,-8,-25,14
781828,2168,2058,2120,-2114,1712,16343,-3,-16,15
781830,2154,2054,2110,-2114,1712,16343,6,-7,18
781831,2156,2057,2112,-2148,1741,16233,13,-2,24
781832,2167,2056,2121,-2148,1741,16233,13,-2,24
781834,2165,2058,2124,-2148,1741,16233,25,3,28
781835,2167,2058,2114,-2167,1752,16194,35,7,26
781836,2200,2055,2113,-2167,1752,16194,47,12,29
781838,2155,2057,2115,-2147,1761,16127,62,15,33
781839,2162,2057,2116,-2147,1761,16127,75,22,32
781840,2164,2058,2119,-2147,1761,16127,75,22,32
781842,2163,2056,2117,-2130,1836,16022,86,25,34
781843,2157,2053,2108,-2130,1836,16022,98,31,36
781844,2156,2056,2114,-2112,1918,15927,104,32,36
781846,2163,2057,2116,-2112,1918,15927,111,33,38
781847,2165,2056,2117,-2112,1918,15927,111,33,38
781849,2162,2054,2112,-2102,1984,15852,115,34,37
781850,2157,2055,2113,-2102,1984,15852,118,29,39
781851,2160,2056,2114,-2109,2100,15862,118,27,37
